id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#superclass
3826_01102023_MZmine_trial_sirius_sirius_6169,C18H32O6,[M + H]+,Linear polyketides,Open-chain polyketides,Branched fatty acids,Fatty acids and conjugates,0.314251423,Fatty Acyls,Lipids and lipid-like molecules
5022_01102023_MZmine_trial_sirius_sirius_7915,C23H36O5,[M + Na]+,Diterpenoids,Labdane diterpenoids,Branched fatty acids,Fatty acids and conjugates,0.650107265,Fatty Acyls,Lipids and lipid-like molecules
3900_01102023_MZmine_trial_sirius_sirius_6262,C24H40O6,[M + Na]+,Linear polyketides,Open-chain polyketides,Branched fatty acids,Fatty acids and conjugates,0.874404371,Fatty Acyls,Lipids and lipid-like molecules
7362_01102023_MZmine_trial_sirius_sirius_11829,C27H47NO8,[M + H]+,Linear polyketides,Open-chain polyketides,Branched fatty acids,Fatty acids and conjugates,0.506581903,Fatty Acyls,Lipids and lipid-like molecules
1491_01102023_MZmine_trial_sirius_sirius_2835,C36H70O8,[M + Na]+,Glycerolipids,Diacylglycerols,Fatty acid esters,Fatty acid esters,0.92648375,Fatty Acyls,Lipids and lipid-like molecules
4312_01102023_MZmine_trial_sirius_sirius_6877,C49H34O3,[M + H]+,Carotenoids (C40),Selaginellins,Fatty acid esters,Fatty acid esters,0.679975986,Fatty Acyls,Lipids and lipid-like molecules
5868_01102023_MZmine_trial_sirius_sirius_9442,C19H31NO3,[M + H]+,Tryptophan alkaloids,Quinoline alkaloids,Fatty acid esters,Fatty acid esters,0.722153664,Fatty Acyls,Lipids and lipid-like molecules
5872_01102023_MZmine_trial_sirius_sirius_9449,C23H38O5,[M + Na]+,Cyclic polyketides,Monacolins and Monacolin derivatives,Fatty acid esters,Fatty acid esters,0.755393207,Fatty Acyls,Lipids and lipid-like molecules
6070_01102023_MZmine_trial_sirius_sirius_9862,C23H41NO6,[M + H]+,Fatty esters,Fatty acyl carnitines,Fatty acid esters,Fatty acid esters,0.521767735,Fatty Acyls,Lipids and lipid-like molecules
6072_01102023_MZmine_trial_sirius_sirius_9865,C47H78O10,[M + Na]+,Glycerolipids,Triacylglycerols,Fatty acid esters,Fatty acid esters,0.863084316,Fatty Acyls,Lipids and lipid-like molecules
5490_01102023_MZmine_trial_sirius_sirius_8686,C21H32O8,[M + H]+,Macrolides,Macrolide lactones,Fatty acid esters,Fatty acid esters,0.656374574,Fatty Acyls,Lipids and lipid-like molecules
4161_01102023_MZmine_trial_sirius_sirius_6649,C24H40O7,[M + Na]+,Diterpenoids,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.577123225,Fatty Acyls,Lipids and lipid-like molecules
4354_01102023_MZmine_trial_sirius_sirius_6935,C24H38O7,[M + Na]+,Linear polyketides,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.56583333,Fatty Acyls,Lipids and lipid-like molecules
6089_01102023_MZmine_trial_sirius_sirius_9895,C24H38O5,[M + Na]+,Diterpenoids,Colensane and Clerodane diterpenoids,Fatty acid esters,Fatty acid esters,0.690091014,Fatty Acyls,Lipids and lipid-like molecules
5933_01102023_MZmine_trial_sirius_sirius_9589,C47H78O10,[M + Na]+,Polyethers,Triacylglycerols,Fatty acid esters,Fatty acid esters,0.857361913,Fatty Acyls,Lipids and lipid-like molecules
4974_01102023_MZmine_trial_sirius_sirius_7840,C20H32O11,[M + Na]+,Macrolides,Macrolide lactones,Fatty acid esters,Fatty acid esters,0.799815953,Fatty Acyls,Lipids and lipid-like molecules
4579_01102023_MZmine_trial_sirius_sirius_7274,C10H16O4,[M + H]+,Fatty esters,Wax monoesters,Fatty acid esters,Fatty acid esters,0.573354602,Fatty Acyls,Lipids and lipid-like molecules
5737_01102023_MZmine_trial_sirius_sirius_9172,C18H30O8,[M + Na]+,Fatty Acids and Conjugates,Macrolide lactones,Fatty acid esters,Fatty acid esters,0.723557413,Fatty Acyls,Lipids and lipid-like molecules
4066_01102023_MZmine_trial_sirius_sirius_6502,C27H48O7,[M + Na]+,Diterpenoids,Labdane diterpenoids,Fatty acid esters,Fatty acid esters,0.681745827,Fatty Acyls,Lipids and lipid-like molecules
6447_01102023_MZmine_trial_sirius_sirius_10513,C26H51NO7,[M + H]+,Glycerolipids,Fatty acyl carnitines,Fatty acid esters,Fatty acid esters,0.93108052,Fatty Acyls,Lipids and lipid-like molecules
3689_01102023_MZmine_trial_sirius_sirius_5973,C14H29NO5,[M + H]+,Fatty esters,Wax monoesters,Fatty acid esters,Fatty acid esters,0.82372278,Fatty Acyls,Lipids and lipid-like molecules
5424_01102023_MZmine_trial_sirius_sirius_8562,C27H49NO7,[M + H]+,Linear polyketides,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.648336768,Fatty Acyls,Lipids and lipid-like molecules
5236_01102023_MZmine_trial_sirius_sirius_8247,C18H19NO5,[M + Na]+,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Fatty acid esters,Fatty acid esters,0.523291171,Fatty Acyls,Lipids and lipid-like molecules
7622_01102023_MZmine_trial_sirius_sirius_12259,C15H32O4,[M + Na]+,Glycerolipids,Monoacylglycerols,Fatty acid esters,Fatty acid esters,0.840333402,Fatty Acyls,Lipids and lipid-like molecules
7284_01102023_MZmine_trial_sirius_sirius_11719,C20H34O10,[M + Na]+,Fatty esters,Wax monoesters,Fatty acid esters,Fatty acid esters,0.997967541,Fatty Acyls,Lipids and lipid-like molecules
8976_01102023_MZmine_trial_sirius_sirius_14576,C21H38O3,[M + H]+,Fatty Acids and Conjugates,Monoacylglycerols,Fatty acid esters,Fatty acid esters,0.703473568,Fatty Acyls,Lipids and lipid-like molecules
7287_01102023_MZmine_trial_sirius_sirius_11723,C25H47NO6,[M + H]+,Fatty esters,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.67397505,Fatty Acyls,Lipids and lipid-like molecules
7686_01102023_MZmine_trial_sirius_sirius_12348,C30H51NO6,[M + H]+,Fatty esters,Fatty acyl carnitines,Fatty acid esters,Fatty acid esters,0.730573654,Fatty Acyls,Lipids and lipid-like molecules
6868_01102023_MZmine_trial_sirius_sirius_11124,C13H24O7,[M + Na]+,Fatty esters,Wax monoesters,Fatty acid esters,Fatty acid esters,0.991438389,Fatty Acyls,Lipids and lipid-like molecules
7296_01102023_MZmine_trial_sirius_sirius_11734,C21H36O5,[M + Na]+,Eicosanoids,Prostaglandins,Fatty acid esters,Fatty acid esters,0.58102262,Fatty Acyls,Lipids and lipid-like molecules
8805_01102023_MZmine_trial_sirius_sirius_14278,C22H46O6,[M + Na]+,Glycerolipids,Monoacylglycerols,Fatty acid esters,Fatty acid esters,0.517861664,Fatty Acyls,Lipids and lipid-like molecules
8032_01102023_MZmine_trial_sirius_sirius_12969,C22H34O6,[M + H]+,Diterpenoids,Drimane sesquiterpenoids,Fatty acid esters,Fatty acid esters,0.590983629,Fatty Acyls,Lipids and lipid-like molecules
7523_01102023_MZmine_trial_sirius_sirius_12064,C23H40O6,[M + H]+,Linear polyketides,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.684357941,Fatty Acyls,Lipids and lipid-like molecules
9076_01102023_MZmine_trial_sirius_sirius_14801,C20H38O3,[M + H]+,Fatty Acids and Conjugates,Fatty alcohols,Fatty acid esters,Fatty acid esters,0.677463293,Fatty Acyls,Lipids and lipid-like molecules
7148_01102023_MZmine_trial_sirius_sirius_11544,C25H55O5P,[M + H]+,Glycerophospholipids,Wax monoesters,Fatty acid esters,Fatty acid esters,0.915942192,Fatty Acyls,Lipids and lipid-like molecules
9284_01102023_MZmine_trial_sirius_sirius_15223,C19H30O4,[M + H]+,Linear polyketides,Prenyl quinone meroterpenoids,Fatty acid esters,Fatty acid esters,0.893491745,Fatty Acyls,Lipids and lipid-like molecules
8733_01102023_MZmine_trial_sirius_sirius_14152,C27H47NO4,[M + H]+,Fatty esters,Fatty acyl carnitines,Fatty acid esters,Fatty acid esters,0.958788872,Fatty Acyls,Lipids and lipid-like molecules
7367_01102023_MZmine_trial_sirius_sirius_11835,C21H36O7,[M + Na]+,Polyethers,Macrotetrolides,Fatty acid esters,Fatty acid esters,0.855199933,Fatty Acyls,Lipids and lipid-like molecules
8336_01102023_MZmine_trial_sirius_sirius_13461,C26H49NO6,[M + H]+,Fatty amides,N-acyl amines,Fatty acid esters,Fatty acid esters,0.66408205,Fatty Acyls,Lipids and lipid-like molecules
8337_01102023_MZmine_trial_sirius_sirius_13466,C40H52O6,[M + H]+,Glycerolipids,Triacylglycerols,Fatty acid esters,Fatty acid esters,0.791212618,Fatty Acyls,Lipids and lipid-like molecules
7940_01102023_MZmine_trial_sirius_sirius_12808,C26H47NO6,[M + H]+,Fatty esters,Fatty acyl carnitines,Fatty acid esters,Fatty acid esters,0.805048347,Fatty Acyls,Lipids and lipid-like molecules
8950_01102023_MZmine_trial_sirius_sirius_14538,C23H40O5,[M + Na]+,Linear polyketides,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.545675814,Fatty Acyls,Lipids and lipid-like molecules
8565_01102023_MZmine_trial_sirius_sirius_13862,C30H57N3O6,[M + K]+,Fatty amides,N-acyl amines,Fatty acid esters,Fatty acid esters,0.77295959,Fatty Acyls,Lipids and lipid-like molecules
8573_01102023_MZmine_trial_sirius_sirius_13879,C23H43FO5,[M + Na]+,Fatty esters,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.678709149,Fatty Acyls,Lipids and lipid-like molecules
7792_01102023_MZmine_trial_sirius_sirius_12523,C23H41NO4,[M + H]+,Fatty esters,Fatty acyl carnitines,Fatty acid esters,Fatty acid esters,0.992014527,Fatty Acyls,Lipids and lipid-like molecules
6822_01102023_MZmine_trial_sirius_sirius_11058,C25H43NO8,[M + H]+,Linear polyketides,Open-chain polyketides,Fatty acid esters,Fatty acid esters,0.723068178,Fatty Acyls,Lipids and lipid-like molecules
4906_01102023_MZmine_trial_sirius_sirius_7755,C10H18O4,[M + H]+,Fatty Acids and Conjugates,Dicarboxylic acids,Fatty acid methyl esters,Fatty acid esters,0.988838434,Fatty Acyls,Lipids and lipid-like molecules
4761_01102023_MZmine_trial_sirius_sirius_7545,C19H31NO4,[M + H]+,Eicosanoids,Piperidine alkaloids,Fatty acid methyl esters,Fatty acid esters,0.916537523,Fatty Acyls,Lipids and lipid-like molecules
4809_01102023_MZmine_trial_sirius_sirius_7605,C12H20O6,[M + H3N + H]+,Fatty esters,Wax monoesters,Fatty acid methyl esters,Fatty acid esters,0.945176721,Fatty Acyls,Lipids and lipid-like molecules
5999_01102023_MZmine_trial_sirius_sirius_9723,C12H21BN2O3,[M + Na]+,Small peptides,Pinane monoterpenoids,Fatty acid methyl esters,Fatty acid esters,0.712557316,Fatty Acyls,Lipids and lipid-like molecules
4666_01102023_MZmine_trial_sirius_sirius_7402,C10H18O4,[M + H]+,Fatty Acids and Conjugates,Dicarboxylic acids,Fatty acid methyl esters,Fatty acid esters,0.978239119,Fatty Acyls,Lipids and lipid-like molecules
6673_01102023_MZmine_trial_sirius_sirius_10842,C13H22O4,[M + H]+,Fatty esters,Wax monoesters,Fatty acid methyl esters,Fatty acid esters,0.966614902,Fatty Acyls,Lipids and lipid-like molecules
7888_01102023_MZmine_trial_sirius_sirius_12715,C24H38O4,[M + Na]+,Eicosanoids,Other Eicosanoids,Fatty acid methyl esters,Fatty acid esters,0.920693398,Fatty Acyls,Lipids and lipid-like molecules
231_01102023_MZmine_trial_sirius_sirius_947,C6H12N2O4,[M + Na]+,Small peptides,Dipeptides,Fatty acids and conjugates,Fatty acids and conjugates,0.631581903,Fatty Acyls,Lipids and lipid-like molecules
253_01102023_MZmine_trial_sirius_sirius_1014,C12H24N2O4,[M + K]+,Ornithine alkaloids,Pyrrolidine alkaloids,Fatty acids and conjugates,Fatty acids and conjugates,0.719916582,Fatty Acyls,Lipids and lipid-like molecules
1454_01102023_MZmine_trial_sirius_sirius_2788,C11H22O6S,[M + H3N + H]+,Fatty acyls,Hydroxy fatty acids,Fatty acids and conjugates,Fatty acids and conjugates,0.60067457,Fatty Acyls,Lipids and lipid-like molecules
1891_01102023_MZmine_trial_sirius_sirius_3415,C12H23NO3,[M + H]+,Fatty amides,N-acyl amines,Fatty acids and conjugates,Fatty acids and conjugates,0.630169094,Fatty Acyls,Lipids and lipid-like molecules
2116_01102023_MZmine_trial_sirius_sirius_3746,C14H26O3,[M + K]+,Fatty Acids and Conjugates,Fatty alcohols,Fatty acids and conjugates,Fatty acids and conjugates,0.567336679,Fatty Acyls,Lipids and lipid-like molecules
4691_01102023_MZmine_trial_sirius_sirius_7437,C18H35NO8S,[M + Na]+,Sphingolipids,Nitro fatty acids,Fatty acids and conjugates,Fatty acids and conjugates,0.590950429,Fatty Acyls,Lipids and lipid-like molecules
4695_01102023_MZmine_trial_sirius_sirius_7444,C20H36N2O5,[M + H]+,Fatty Acids and Conjugates,N-acyl amines,Fatty acids and conjugates,Fatty acids and conjugates,0.500854492,Fatty Acyls,Lipids and lipid-like molecules
3772_01102023_MZmine_trial_sirius_sirius_6087,C17H30N2O3,[M + H]+,Peptide alkaloids,Simple amide alkaloids,Fatty acids and conjugates,Fatty acids and conjugates,0.808163524,Fatty Acyls,Lipids and lipid-like molecules
4964_01102023_MZmine_trial_sirius_sirius_7826,C18H37NO7S,[M + H]+,Fatty Acids and Conjugates,Hydroxy fatty acids,Fatty acids and conjugates,Fatty acids and conjugates,0.781584442,Fatty Acyls,Lipids and lipid-like molecules
5956_01102023_MZmine_trial_sirius_sirius_9639,C17H37N5O5,[M + H]+,Small peptides,Aminoglycosides,Fatty acids and conjugates,Fatty acids and conjugates,0.686692357,Fatty Acyls,Lipids and lipid-like molecules
3684_01102023_MZmine_trial_sirius_sirius_5967,C13H24O3,[M + Na]+,Fatty Acids and Conjugates,Hydroxy fatty acids,Fatty acids and conjugates,Fatty acids and conjugates,0.526992261,Fatty Acyls,Lipids and lipid-like molecules
3892_01102023_MZmine_trial_sirius_sirius_6252,C18H32O6,[M + Na]+,Eicosanoids,Prostaglandins,Fatty acids and conjugates,Fatty acids and conjugates,0.511936128,Fatty Acyls,Lipids and lipid-like molecules
8226_01102023_MZmine_trial_sirius_sirius_13287,C18H26O3,[M + H]+,Octadecanoids,Prostaglandins,Fatty acids and conjugates,Fatty acids and conjugates,0.636604726,Fatty Acyls,Lipids and lipid-like molecules
7331_01102023_MZmine_trial_sirius_sirius_11789,C22H46N4O3,[M + Na]+,Peptide alkaloids,Monocyclic guanidine alkaloids,Fatty acids and conjugates,Fatty acids and conjugates,0.634987235,Fatty Acyls,Lipids and lipid-like molecules
6399_01102023_MZmine_trial_sirius_sirius_10424,C15H28BN2O3,[M + Na]+,Monoterpenoids,Pinane monoterpenoids,Fatty acids and conjugates,Fatty acids and conjugates,0.573192716,Fatty Acyls,Lipids and lipid-like molecules
8546_01102023_MZmine_trial_sirius_sirius_13830,C20H35NO4,[M + H]+,Eicosanoids,Open-chain polyketides,Fatty acids and conjugates,Fatty acids and conjugates,0.521050811,Fatty Acyls,Lipids and lipid-like molecules
7576_01102023_MZmine_trial_sirius_sirius_12167,C18H34O3,[M + H]+,Fatty Acids and Conjugates,Fatty alcohols,Fatty acids and conjugates,Fatty acids and conjugates,0.518444359,Fatty Acyls,Lipids and lipid-like molecules
8551_01102023_MZmine_trial_sirius_sirius_13838,C29H46O2,[M + H]+,Steroids,Cholestane steroids,Fatty acids and conjugates,Fatty acids and conjugates,0.561594129,Fatty Acyls,Lipids and lipid-like molecules
594_01102023_MZmine_trial_sirius_sirius_1706,C16H30O12,[M + H]+,Saccharides,Disaccharides,Fatty acyl glycosides,Fatty acyl glycosides,0.675804138,Fatty Acyls,Lipids and lipid-like molecules
6582_01102023_MZmine_trial_sirius_sirius_10710,C21H41NO14,[M + H]+,Aminosugars and aminoglycosides,Aminosugars,Fatty acyl glycosides,Fatty acyl glycosides,0.554733396,Fatty Acyls,Lipids and lipid-like molecules
6622_01102023_MZmine_trial_sirius_sirius_10765,C20H33NO7,[M + H]+,Linear polyketides,Open-chain polyketides,Fatty acyl glycosides,Fatty acyl glycosides,0.576000154,Fatty Acyls,Lipids and lipid-like molecules
1214_01102023_MZmine_trial_sirius_sirius_2460,C11H18O8,[M + Na]+,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,0.785970688,Fatty Acyls,Lipids and lipid-like molecules
249_01102023_MZmine_trial_sirius_sirius_1002,C12H25NO11,[M + H]+,Saccharides,Disaccharides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,0.853246033,Fatty Acyls,Lipids and lipid-like molecules
3033_01102023_MZmine_trial_sirius_sirius_5047,C14H20O6,[M + H]+,Monoterpenoids,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,0.423653722,Fatty Acyls,Lipids and lipid-like molecules
301_01102023_MZmine_trial_sirius_sirius_1223,C17H33NO13,[M + H]+,Aminosugars and aminoglycosides,Disaccharides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,0.628389597,Fatty Acyls,Lipids and lipid-like molecules
3511_01102023_MZmine_trial_sirius_sirius_5720,C21H28O9,[M + H]+,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,0.620732903,Fatty Acyls,Lipids and lipid-like molecules
182_01102023_MZmine_trial_sirius_sirius_792,C13H24O12,[M + Na]+,Saccharides,Disaccharides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,0.457617491,Fatty Acyls,Lipids and lipid-like molecules
