id,NPC#class,ClassyFire#most specific class,ClassyFire#class
199_01102023_MZmine_trial_sirius_sirius_846,pteridine alkaloids,Purine nucleosides,Purine nucleosides
2055_01102023_MZmine_trial_sirius_sirius_3650,Purine alkaloids,Purine nucleosides,Purine nucleosides
2157_01102023_MZmine_trial_sirius_sirius_3818,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
220_01102023_MZmine_trial_sirius_sirius_915,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
418_01102023_MZmine_trial_sirius_sirius_1478,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
1786_01102023_MZmine_trial_sirius_sirius_3278,Purine nucleos(t)ides,Purine 3'-deoxyribonucleosides,Purine nucleosides
436_01102023_MZmine_trial_sirius_sirius_1499,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
451_01102023_MZmine_trial_sirius_sirius_1525,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
1636_01102023_MZmine_trial_sirius_sirius_3058,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
277_01102023_MZmine_trial_sirius_sirius_1081,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
483_01102023_MZmine_trial_sirius_sirius_1567,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
515_01102023_MZmine_trial_sirius_sirius_1612,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
711_01102023_MZmine_trial_sirius_sirius_1842,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
322_01102023_MZmine_trial_sirius_sirius_1306,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
921_01102023_MZmine_trial_sirius_sirius_2095,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
550_01102023_MZmine_trial_sirius_sirius_1658,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
559_01102023_MZmine_trial_sirius_sirius_1668,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
563_01102023_MZmine_trial_sirius_sirius_1673,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
568_01102023_MZmine_trial_sirius_sirius_1678,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
188_01102023_MZmine_trial_sirius_sirius_814,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
371_01102023_MZmine_trial_sirius_sirius_1398,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
387_01102023_MZmine_trial_sirius_sirius_1422,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
4868_01102023_MZmine_trial_sirius_sirius_7690,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
5264_01102023_MZmine_trial_sirius_sirius_8294,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
7484_01102023_MZmine_trial_sirius_sirius_12008,Purine nucleos(t)ides,Purine 3'-deoxyribonucleosides,Purine nucleosides
1323_01102023_MZmine_trial_sirius_sirius_2608,Pyrimidine nucleos(t)ides,Purine nucleosides,Purine nucleosides
3513_01102023_MZmine_trial_sirius_sirius_5723,Pyrimidine nucleos(t)ides,Purine nucleosides,Purine nucleosides
7512_01102023_MZmine_trial_sirius_sirius_12043,Pyrimidine nucleos(t)ides,Purine nucleosides,Purine nucleosides
632_01102023_MZmine_trial_sirius_sirius_1750,Aminosugars,Purine ribonucleoside monophosphates,Purine nucleotides
