id,NPC#class,ClassyFire#most specific class,ClassyFire#class
2157_01102023_MZmine_trial_sirius_sirius_3818,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
1767_01102023_MZmine_trial_sirius_sirius_3250,Purine nucleos(t)ides,N-acyl-alpha amino acids and derivatives,and analogues
986_01102023_MZmine_trial_sirius_sirius_2192,Purine nucleos(t)ides,Amino acids and derivatives,and analogues
1575_01102023_MZmine_trial_sirius_sirius_2967,Purine nucleos(t)ides,Alpha amino acids,and analogues
602_01102023_MZmine_trial_sirius_sirius_1716,Purine nucleos(t)ides,Alpha amino acids,and analogues
220_01102023_MZmine_trial_sirius_sirius_915,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
418_01102023_MZmine_trial_sirius_sirius_1478,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
1786_01102023_MZmine_trial_sirius_sirius_3278,Purine nucleos(t)ides,Purine 3'-deoxyribonucleosides,Purine nucleosides
2408_01102023_MZmine_trial_sirius_sirius_4193,Purine nucleos(t)ides,Aminopyrimidines and derivatives,Diazines
436_01102023_MZmine_trial_sirius_sirius_1499,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
248_01102023_MZmine_trial_sirius_sirius_996,Purine nucleos(t)ides,N-acyl-alpha amino acids,and analogues
451_01102023_MZmine_trial_sirius_sirius_1525,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
650_01102023_MZmine_trial_sirius_sirius_1770,Purine nucleos(t)ides,6-aminopurines,Imidazopyrimidines
2628_01102023_MZmine_trial_sirius_sirius_4492,Purine nucleos(t)ides,6-aminopurines,Imidazopyrimidines
2828_01102023_MZmine_trial_sirius_sirius_4777,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
1636_01102023_MZmine_trial_sirius_sirius_3058,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
277_01102023_MZmine_trial_sirius_sirius_1081,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
483_01102023_MZmine_trial_sirius_sirius_1567,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
1271_01102023_MZmine_trial_sirius_sirius_2529,Purine nucleos(t)ides,Alpha amino acids,and analogues
689_01102023_MZmine_trial_sirius_sirius_1819,Purine nucleos(t)ides,N-acyl-alpha amino acids,and analogues
119_01102023_MZmine_trial_sirius_sirius_583,Purine nucleos(t)ides,Alpha amino acids,and analogues
292_01102023_MZmine_trial_sirius_sirius_1176,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
120_01102023_MZmine_trial_sirius_sirius_586,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
879_01102023_MZmine_trial_sirius_sirius_2047,Purine nucleos(t)ides,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides
503_01102023_MZmine_trial_sirius_sirius_1592,Purine nucleos(t)ides,Hexoses,Organooxygen compounds
510_01102023_MZmine_trial_sirius_sirius_1600,Purine nucleos(t)ides,Pyrazolo[3,
306_01102023_MZmine_trial_sirius_sirius_1245,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
889_01102023_MZmine_trial_sirius_sirius_2060,Purine nucleos(t)ides,Alpha amino acids,and analogues
515_01102023_MZmine_trial_sirius_sirius_1612,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
711_01102023_MZmine_trial_sirius_sirius_1842,Purine nucleos(t)ides,Purine 2'-deoxyribonucleosides,Purine nucleosides
522_01102023_MZmine_trial_sirius_sirius_1621,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
322_01102023_MZmine_trial_sirius_sirius_1306,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
1507_01102023_MZmine_trial_sirius_sirius_2863,Purine nucleos(t)ides,Amino acids and derivatives,and analogues
921_01102023_MZmine_trial_sirius_sirius_2095,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
160_01102023_MZmine_trial_sirius_sirius_728,Purine nucleos(t)ides,Alkylarylthioethers,Thioethers
334_01102023_MZmine_trial_sirius_sirius_1336,Purine nucleos(t)ides,Alpha amino acids,and analogues
1129_01102023_MZmine_trial_sirius_sirius_2365,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
545_01102023_MZmine_trial_sirius_sirius_1650,Purine nucleos(t)ides,Glycosylamines,Organooxygen compounds
