id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#level 5,ClassyFire#subclass
1561_01102023_MZmine_trial_sirius_sirius_2948,C16H19N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
586_01102023_MZmine_trial_sirius_sirius_1698,C15H21N5O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
197_01102023_MZmine_trial_sirius_sirius_841,C12H25N3O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
783_01102023_MZmine_trial_sirius_sirius_1926,C12H23N5O2,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
588_01102023_MZmine_trial_sirius_sirius_1700,C12H21N5O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1565_01102023_MZmine_trial_sirius_sirius_2954,C13H21BFN3O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
200_01102023_MZmine_trial_sirius_sirius_848,C11H23N3O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1761_01102023_MZmine_trial_sirius_sirius_3244,C12H20N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2768_01102023_MZmine_trial_sirius_sirius_4686,C15H24N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1959_01102023_MZmine_trial_sirius_sirius_3523,C12H27N7O3S,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1182_01102023_MZmine_trial_sirius_sirius_2420,C16H29N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1574_01102023_MZmine_trial_sirius_sirius_2966,C11H25N9O3,[M + K]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2966_01102023_MZmine_trial_sirius_sirius_4956,C18H35N3O4,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
2578_01102023_MZmine_trial_sirius_sirius_4425,C26H33N3O6,[M + Na]+,Oligopeptides,Dipeptides,Dipeptides,Peptides,Amino acids
2579_01102023_MZmine_trial_sirius_sirius_4426,C12H27N3O6S,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
1586_01102023_MZmine_trial_sirius_sirius_2981,C16H27N3O6,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
