id,ClassyFire#most specific class
2970_01102023_MZmine_trial_sirius_sirius_4960,Bile acids
2975_01102023_MZmine_trial_sirius_sirius_4970,Bile acids
5520_01102023_MZmine_trial_sirius_sirius_8753,Bile acids
5716_01102023_MZmine_trial_sirius_sirius_9118,Bile acids
6135_01102023_MZmine_trial_sirius_sirius_9986,Bile acids
4808_01102023_MZmine_trial_sirius_sirius_7604,Bile acids
5977_01102023_MZmine_trial_sirius_sirius_9682,Bile acids
4436_01102023_MZmine_trial_sirius_sirius_7064,Bile acids
5989_01102023_MZmine_trial_sirius_sirius_9701,Bile acids
3860_01102023_MZmine_trial_sirius_sirius_6215,Bile acids
6443_01102023_MZmine_trial_sirius_sirius_10509,Bile acids
5222_01102023_MZmine_trial_sirius_sirius_8227,Bile acids
6239_01102023_MZmine_trial_sirius_sirius_10184,Bile acids
5637_01102023_MZmine_trial_sirius_sirius_8965,Bile acids
6275_01102023_MZmine_trial_sirius_sirius_10245,Bile acids
5640_01102023_MZmine_trial_sirius_sirius_8969,Bile acids
6829_01102023_MZmine_trial_sirius_sirius_11068,Bile acids
5820_01102023_MZmine_trial_sirius_sirius_9348,Bile acids
6290_01102023_MZmine_trial_sirius_sirius_10265,Bile acids
6036_01102023_MZmine_trial_sirius_sirius_9794,Bile acids
6475_01102023_MZmine_trial_sirius_sirius_10554,Bile acids
7273_01102023_MZmine_trial_sirius_sirius_11706,Bile acids
7830_01102023_MZmine_trial_sirius_sirius_12607,Bile acids
7285_01102023_MZmine_trial_sirius_sirius_11721,Bile acids
8208_01102023_MZmine_trial_sirius_sirius_13261,Bile acids
6337_01102023_MZmine_trial_sirius_sirius_10335,Bile acids
7313_01102023_MZmine_trial_sirius_sirius_11758,Bile acids
8236_01102023_MZmine_trial_sirius_sirius_13299,Bile acids
6901_01102023_MZmine_trial_sirius_sirius_11179,Bile acids
7744_01102023_MZmine_trial_sirius_sirius_12435,Bile acids
8921_01102023_MZmine_trial_sirius_sirius_14485,Bile acids
6948_01102023_MZmine_trial_sirius_sirius_11247,Bile acids
6625_01102023_MZmine_trial_sirius_sirius_10771,Bile acids
7968_01102023_MZmine_trial_sirius_sirius_12862,Bile acids
5071_01102023_MZmine_trial_sirius_sirius_8000,Bile acids
3364_01102023_MZmine_trial_sirius_sirius_5511,Bile acids
4523_01102023_MZmine_trial_sirius_sirius_7192,Bile acids
4150_01102023_MZmine_trial_sirius_sirius_6634,Bile acids
6081_01102023_MZmine_trial_sirius_sirius_9880,Bile acids
5134_01102023_MZmine_trial_sirius_sirius_8087,Bile acids
6236_01102023_MZmine_trial_sirius_sirius_10178,Bile acids
6638_01102023_MZmine_trial_sirius_sirius_10785,Bile acids
3701_01102023_MZmine_trial_sirius_sirius_5985,Bile acids
7094_01102023_MZmine_trial_sirius_sirius_11468,Bile acids
7859_01102023_MZmine_trial_sirius_sirius_12661,Bile acids
6583_01102023_MZmine_trial_sirius_sirius_10711,Bile acids
7571_01102023_MZmine_trial_sirius_sirius_12157,Bile acids
8936_01102023_MZmine_trial_sirius_sirius_14510,Bile acids
7769_01102023_MZmine_trial_sirius_sirius_12471,Bile acids
8245_01102023_MZmine_trial_sirius_sirius_13311,Bile acids
8529_01102023_MZmine_trial_sirius_sirius_13808,Bile acids
6139_01102023_MZmine_trial_sirius_sirius_9991,Bile acids
5018_01102023_MZmine_trial_sirius_sirius_7910,Bile acids
6237_01102023_MZmine_trial_sirius_sirius_10179,Bile acids
5352_01102023_MZmine_trial_sirius_sirius_8443,Dihydroxy bile acids
4996_01102023_MZmine_trial_sirius_sirius_7871,Dihydroxy bile acids
6150_01102023_MZmine_trial_sirius_sirius_10014,Dihydroxy bile acids
6006_01102023_MZmine_trial_sirius_sirius_9738,Dihydroxy bile acids
5800_01102023_MZmine_trial_sirius_sirius_9307,Dihydroxy bile acids
6648_01102023_MZmine_trial_sirius_sirius_10806,Dihydroxy bile acids
7473_01102023_MZmine_trial_sirius_sirius_11991,Dihydroxy bile acids
7836_01102023_MZmine_trial_sirius_sirius_12618,Dihydroxy bile acids
8592_01102023_MZmine_trial_sirius_sirius_13919,Dihydroxy bile acids
7847_01102023_MZmine_trial_sirius_sirius_12642,Dihydroxy bile acids
7308_01102023_MZmine_trial_sirius_sirius_11751,Dihydroxy bile acids
7321_01102023_MZmine_trial_sirius_sirius_11772,Dihydroxy bile acids
6931_01102023_MZmine_trial_sirius_sirius_11220,Dihydroxy bile acids
7772_01102023_MZmine_trial_sirius_sirius_12479,Dihydroxy bile acids
