,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
121.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),121.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_121.mzML,not applicable,UBERON:0001988,not applicable,3709314,1,47,Normal,3/7/19,19.64,0.72,Normal
122.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),122.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_122.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,47,Normal,3/7/19,19.26,0.96,Normal
123.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),123.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_123.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,47,Normal,3/7/19,16.3,0.3,Normal
124.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),124.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_124.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,47,Normal,3/1/19,23.92,0.76,Normal
125.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),125.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_125.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,47,Normal,3/1/19,23.2,0.85,Normal
126.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),126.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_126.mzML,not applicable,UBERON:0001988,not applicable,3709312,6,47,Deficient,3/4/19,14.63,0.08,Deficient
128.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),128.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_128.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,47,Deficient,3/4/19,21.5,0.22,Deficient
129.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),129.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_129.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,47,Deficient,3/1/19,24.37,0.46,Deficient
130.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),130.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_130.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,47,Deficient,3/1/19,24.85,0.93,Deficient
131.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),131.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/17/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_131.mzML,not applicable,UBERON:0001988,not applicable,3709310,11,47,0.6% Fe,3/1/19,18.66,0.27,0.6% Fe
