rowname,Met-C6:0,Met-C6:0_110,sum_met_c6,PC(20:2/0:0); [M+H]+ C28H55N1O7P1,PC(20:2/0:0); [M+H]+ C28H55N1O7P1_138,sum_PC,Spectral Match to Stearidonic acid from NIST14,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet
10.mzML,5.06E-07,5.06E-07,1.01292438469166E-06,0.000121802,5.06E-07,0.000122308,5.06E-07,10,0,Deficient
100.mzML,9.84E-07,9.84E-07,1.9671265784301E-06,1.01E-05,9.84E-07,0.000011084,9.84E-07,10,33,Deficient
101.mzML,9.24E-07,9.24E-07,1.8475628332478E-06,4.37E-05,3.01E-05,0.0000738,1.59E-05,11,33,0.6% Fe
102.mzML,6.45E-07,6.45E-07,1.29053112234339E-06,0.00019204,2.69E-05,0.00021894,0.000810171,12,33,0.6% Fe
103.mzML,3.42E-05,1.15E-06,3.53270402649558E-05,9.32E-05,1.15E-06,0.00009435,1.65E-05,13,33,0.6% Fe
104.mzML,1.71E-06,1.71E-06,3.42707719842306E-06,0.000146785,5.75E-05,0.000204285,3.76E-05,14,33,0.6% Fe
105.mzML,1.04E-06,1.04E-06,2.0884103223048E-06,0.000617156,0.000103582,0.000720738,0.000230807,15,33,0.6% Fe
12.mzML,5.59E-07,5.59E-07,1.1187804287458E-06,7.62E-05,5.59E-07,0.000076759,9.58E-07,12,0,0.6% Fe
121.mzML,2.91E-06,2.91E-06,5.8115938461333E-06,2.91E-06,2.91E-06,0.00000582,2.91E-06,1,47,Normal
122.mzML,3.47E-07,3.47E-07,6.94737538934768E-07,3.47E-07,3.47E-07,0.000000694,3.47E-07,2,47,Normal
123.mzML,4.53E-07,4.53E-07,9.0694341650531E-07,4.53E-07,4.53E-07,0.000000906,4.53E-07,3,47,Normal
124.mzML,7.13E-07,7.13E-07,1.42593980410971E-06,6.73E-06,7.13E-07,0.000007443,7.13E-07,4,47,Normal
125.mzML,1.06E-06,1.06E-06,2.11255041311896E-06,1.06E-06,1.06E-06,0.00000212,1.06E-06,5,47,Normal
126.mzML,1.01E-06,1.01E-06,2.01715006302628E-06,1.01E-06,2.58E-05,0.00002681,1.01E-06,6,47,Deficient
128.mzML,3.55E-07,3.55E-07,7.10389375747906E-07,4.33E-06,6.27E-06,0.0000106,3.55E-07,8,47,Deficient
