rowname,Met-C6:0,Met-C6:0_110,sum_met_c6,PC(20:2/0:0); [M+H]+ C28H55N1O7P1,PC(20:2/0:0); [M+H]+ C28H55N1O7P1_138,sum_PC,Spectral Match to Stearidonic acid from NIST14,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet
101.mzML,9.24E-07,9.24E-07,1.8475628332478E-06,4.37E-05,3.01E-05,0.0000738,1.59E-05,11,33,0.6% Fe
102.mzML,6.45E-07,6.45E-07,1.29053112234339E-06,0.00019204,2.69E-05,0.00021894,0.000810171,12,33,0.6% Fe
103.mzML,3.42E-05,1.15E-06,3.53270402649558E-05,9.32E-05,1.15E-06,0.00009435,1.65E-05,13,33,0.6% Fe
104.mzML,1.71E-06,1.71E-06,3.42707719842306E-06,0.000146785,5.75E-05,0.000204285,3.76E-05,14,33,0.6% Fe
105.mzML,1.04E-06,1.04E-06,2.0884103223048E-06,0.000617156,0.000103582,0.000720738,0.000230807,15,33,0.6% Fe
12.mzML,5.59E-07,5.59E-07,1.1187804287458E-06,7.62E-05,5.59E-07,0.000076759,9.58E-07,12,0,0.6% Fe
13.mzML,7.38E-07,7.38E-07,1.47552040997554E-06,7.76E-06,7.38E-07,0.000008498,7.38E-07,13,0,0.6% Fe
131.mzML,1.13E-06,1.13E-06,2.25186216033936E-06,1.18E-05,1.13E-06,0.00001293,0.001189054,11,47,0.6% Fe
132.mzML,6.64E-07,6.64E-07,1.32755616438998E-06,2.05E-05,4.87E-05,0.0000692,0.001072769,12,47,0.6% Fe
133.mzML,9.37E-07,9.37E-07,1.87383454285632E-06,4.58E-05,0.000104265,0.000150065,0.000303454,13,47,0.6% Fe
135.mzML,1.51E-06,1.51E-06,3.02338215138496E-06,1.51E-06,6.59E-06,0.0000081,6.97E-05,15,47,0.6% Fe
14.mzML,3.51E-07,3.51E-07,7.01864774523414E-07,0.000110589,3.51E-07,0.00011094,3.51E-07,14,0,0.6% Fe
147.mzML,6.85E-07,6.85E-07,1.37067545454758E-06,6.85E-07,8.87E-05,0.000089385,0.001888615,12,54,0.6% Fe
148.mzML,1.62E-05,1.11E-06,1.73540301592138E-05,3.06E-05,0.000138594,0.000169194,0.00143864,13,54,0.6% Fe
149.mzML,5.20E-07,5.20E-07,1.04045675450748E-06,5.94E-06,0.000103872,0.000109812,6.58E-05,14,54,0.6% Fe
15.mzML,7.17E-07,7.17E-07,1.43400113815357E-06,4.95E-06,1.58E-05,0.00002075,7.17E-07,15,0,0.6% Fe
150.mzML,8.68E-07,5.57E-07,1.42541209013436E-06,4.40E-05,5.41E-05,0.0000981,2.99E-05,15,54,0.6% Fe
161.mzML,6.70E-07,3.17E-05,3.24065776181996E-05,2.53E-05,5.34E-05,0.0000787,0.0009849,11,61,0.6% Fe
162.mzML,1.43E-05,6.94E-07,1.4992828130091E-05,3.55E-05,0.00010168,0.00013718,0.001665241,12,61,0.6% Fe
163.mzML,1.16E-06,1.16E-06,2.32153502147278E-06,1.70E-05,7.73E-06,0.00002473,0.000216305,13,61,0.6% Fe
164.mzML,1.49E-06,8.00E-05,8.1455505697633E-05,2.85E-05,5.76E-05,0.0000861,0.000439372,14,61,0.6% Fe
165.mzML,6.10E-06,0.000211772,0.000217873,3.21E-05,0.000297886,0.000329986,0.00036401,15,61,0.6% Fe
177.mzML,3.73E-06,0.000221038,0.00022477,1.61E-05,0.000147825,0.000163925,0.002000115,12,68,0.6% Fe
178.mzML,2.17E-06,5.81E-05,6.02682452189988E-05,2.05E-05,0.00011418,0.00013468,0.000110712,13,68,0.6% Fe
179.mzML,3.22E-06,0.000182956,0.000186171,5.05E-05,0.000353366,0.000403866,0.001458359,14,68,0.6% Fe
180.mzML,1.48E-06,0.000169903,0.000171384,3.38E-05,0.000175244,0.000209044,0.001307978,15,68,0.6% Fe
191.mzML,8.83E-07,0.000293993,0.000294876,8.83E-07,0.000162992,0.000163875,0.001523548,11,75,0.6% Fe
192.mzML,6.95E-07,0.000217661,0.000218356,1.48E-05,0.000237877,0.000252677,0.000966626,12,75,0.6% Fe
193.mzML,6.02E-06,0.000159821,0.000165844,2.38E-05,7.99E-05,0.0001037,0.001267175,13,75,0.6% Fe
194.mzML,1.45E-06,4.59E-05,4.73621562567175E-05,1.79E-05,0.000147689,0.000165589,8.26E-05,14,75,0.6% Fe
195.mzML,8.18E-07,0.00018969,0.000190508,1.83E-05,0.000609643,0.000627943,0.001205957,15,75,0.6% Fe
207.mzML,4.85E-07,4.85E-07,9.69329306637802E-07,4.85E-07,4.63E-05,0.000046785,4.85E-07,12,82,0.6% Fe
